ID,prev,name,facehair,method,round,time
63,0,Chris Leben,2,5,3,5:00
159,0,Ivan Salaverry,1,2,1,2:04
206,0,Josh Burkman,2,5,3,5:00
67,0,Chuck Liddell,2,1,1,1:53
216,0,Keith Jardine,2,1,1,0:48
69,0,Clay Guida,1,6,3,5:00
324,0,Rory Singer,2,2,2,3:18
394,0,Yushin Okami,1,5,3,5:00
150,0,Hector Ramirez,2,5,3,5:00
335,0,Scott Smith,1,4,2,2:25
153,0,Hermes Franca,1,5,5,5:00
148,0,Heath Herring,2,5,3,5:00
302,0,Rashad Evans,3,7,3,5:00
274,0,Nate Marquardt,2,2,1,4:50
11,0,Alvin Robinson,1,2,1,4:30
131,0,Gabriel Gonzaga,1,2,3,1:37
208,0,Josh Koscheck,2,5,3,5:00
6,0,Alberto Crane,1,2,3,1:50
224,0,Kurt Pellegrino,2,5,3,5:00
218,0,Kendall Grove,2,2,1,4:45
249,0,Matt Hamill,1,6,3,5:00
290,0,Paul Taylor,1,4,1,4:14
83,0,Dan Henderson,1,5,5,5:00
7,0,Alessio Sakara,2,2,1,1:01
268,0,Mirko Filipovic,2,5,3,5:00
215,0,Kazuhiro Nakamura,1,5,3,5:00
255,0,Mauricio Rua,1,4,3,4:45
361,0,Thiago Tavares,2,5,3,5:00
67,0,Chuck Liddell,2,6,3,5:00
99,0,Diego Sanchez,1,6,3,5:00
309,1,Rich Franklin,1,2,2,1:07
212,1,Kalib Starnes,2,3,2,1:39
199,0,Jorge Gurgel,2,5,3,5:00
36,0,Brandon Vera,2,5,3,5:00
116,0,Eric Schafer,1,2,2,2:47
154,1,Houston Alexander,2,1,1,3:25
345,0,Spencer Fisher,3,5,3,5:00
332,0,Ryo Chonan,1,5,3,5:00
258,1,Michael Bisping,1,6,3,5:00
183,0,Joe Doerksen,2,1,3,0:39
250,0,Matt Hughes,1,4,2,4:54
299,0,Rameau Thierry Sokoudjou,3,4,2,4:20
386,0,Wanderlei Silva,2,5,3,5:00
344,0,Soa Palelei,2,2,3,3:24
257,0,Melvin Guillard,2,4,1,4:40
174,0,Jason Lambert,1,1,2,0:37
131,0,Gabriel Gonzaga,1,2,2,4:34
186,1,Joe Stevenson,2,4,2,4:02
218,0,Kendall Grove,1,2,1,1:20
179,0,Jess Liaudin,2,1,1,1:04
139,0,Gleison Tibau,1,5,3,5:00
41,0,Brock Lesnar,1,4,1,1:30
366,1,Tim Sylvia,2,4,3,1:28
177,0,Jeremy Horn,2,4,2,1:37
120,0,Evan Tanner,1,1,2,3:00
83,0,Dan Henderson,1,4,2,4:52
58,1,Cheick Kongo,3,6,3,5:00
7,0,Alessio Sakara,1,1,1,3:16
66,0,Chris Wilson,2,5,3,5:00
212,0,Kalib Starnes,1,5,3,5:00
376,0,Travis Lutter,2,2,2,3:01
242,0,Mark Bocek,1,4,3,3:48
54,0,Charles McCarthy,3,7,1,5:00
252,0,Matt Serra,1,2,2,4:45
367,1,Tito Ortiz,1,5,3,5:00
23,0,Antonio Mendes,1,4,1,2:24
337,1,Sean Sherk,1,2,3,5:00
216,1,Keith Jardine,2,1,1,0:36
240,1,Marcus Davis,1,5,3,5:00
250,0,Matt Hughes,1,2,2,1:02
36,0,Brandon Vera,1,2,1,4:40
173,0,Jason Day,1,2,1,3:42
274,1,Nate Marquardt,3,6,3,5:00
238,0,Marcus Aurelio,1,5,3,5:00
306,0,Ricardo Almeida,1,6,3,5:00
139,0,Gleison Tibau,1,4,2,2:57
64,0,Chris Lytle,2,5,3,5:00
296,1,Quinton Jackson,2,5,5,5:00
148,1,Heath Herring,2,5,3,5:00
195,1,Jon Fitch,3,5,5,5:00
175,1,Jason MacDonald,2,4,3,2:44
237,0,Manvel Gamburyan,2,1,1,0:12
319,1,Roger Huerta,2,5,3,5:00
248,0,Matt Brown,2,6,3,5:00
326,0,Rousimar Palhares,2,5,3,5:00
249,0,Matt Hamill,2,2,3,0:39
67,1,Chuck Liddell,2,1,2,1:51
247,0,Martin Kampmann,1,1,1,1:22
289,0,Paul Kelly,1,4,2,2:16
63,1,Chris Leben,2,5,3,5:00
36,0,Brandon Vera,1,6,3,5:00
290,0,Paul Taylor,2,5,3,5:00
299,0,Rameau Thierry Sokoudjou,2,2,2,4:15
378,1,Tyson Griffin,1,5,3,5:00
208,1,Josh Koscheck,1,5,3,5:00
285,1,Patrick Cote,2,7,3,0:39
123,1,Fabricio Werdum,2,2,1,1:20
308,1,Rich Clementi,2,5,3,5:00
301,1,Randy Couture,1,2,2,3:07
207,0,Josh Hendricks,1,1,1,1:01
275,1,Nate Quarry,1,4,1,2:13
186,1,Joe Stevenson,2,4,1,4:03
354,0,Tamdan McCrory,1,4,1,3:59
262,0,Mike Massenzio,2,2,1,3:01
24,1,Antonio Rogerio Nogueira,1,2,2,1:54
386,1,Wanderlei Silva,1,1,1,3:21
125,1,Forrest Griffin,2,2,3,2:46
269,0,Mostapha Al Turk,3,2,1,4:37
64,1,Chris Lytle,2,6,3,5:00
92,0,Denis Kang,2,4,2,4:36
243,0,Mark Coleman,2,2,3,4:36
309,1,Rich Franklin,2,6,3,5:00
177,0,Jeremy Horn,3,5,3,5:00
27,1,B.J. Penn,1,1,4,5:00
