ID,prev,name,facehair,method,round,time
212,0,Kalib Starnes,1,5,3,5:00
356,0,Terry Martin,2,2,1,2:04
214,0,Karo Parisyan,2,5,3,5:00
296,0,Quinton Jackson,2,1,1,1:53
154,0,Houston Alexander,2,1,1,0:48
378,0,Tyson Griffin,1,6,3,5:00
175,0,Jason MacDonald,1,2,2,3:18
309,0,Rich Franklin,2,5,3,5:00
125,0,Forrest Griffin,2,5,3,5:00
108,0,Ed Herman,1,4,2,2:25
337,0,Sean Sherk,1,5,5,5:00
24,0,Antonio Rogerio Nogueira,1,5,3,5:00
367,0,Tito Ortiz,1,7,3,5:00
13,0,Anderson Silva,2,2,1,4:50
219,0,Kenny Florian,3,2,1,4:30
301,0,Randy Couture,1,2,3,1:37
134,1,Georges St-Pierre,1,5,3,5:00
319,0,Roger Huerta,2,2,3,1:50
186,0,Joe Stevenson,2,5,3,5:00
285,0,Patrick Cote,2,2,1,4:45
258,0,Michael Bisping,1,6,3,5:00
240,0,Marcus Davis,1,4,1,4:14
296,1,Quinton Jackson,2,5,5,5:00
154,1,Houston Alexander,2,2,1,1:01
58,0,Cheick Kongo,1,5,3,5:00
234,0,Lyoto Machida,1,5,3,5:00
125,1,Forrest Griffin,1,4,3,4:45
378,1,Tyson Griffin,1,5,3,5:00
216,0,Keith Jardine,2,6,3,5:00
195,0,Jon Fitch,3,6,3,5:00
13,1,Anderson Silva,1,2,2,1:07
4,0,Alan Belcher,1,3,2,1:39
11,0,Alvin Robinson,1,5,3,5:00
366,0,Tim Sylvia,2,5,3,5:00
348,0,Stephan Bonnar,1,2,2,2:47
360,0,Thiago Silva,1,1,1,3:25
130,0,Frankie Edgar,1,5,3,5:00
214,1,Karo Parisyan,2,5,3,5:00
302,0,Rashad Evans,2,6,3,5:00
108,1,Ed Herman,2,1,3,0:39
134,1,Georges St-Pierre,1,4,2,4:54
234,1,Lyoto Machida,1,4,2,4:20
67,0,Chuck Liddell,2,5,3,5:00
110,0,Eddie Sanchez,2,2,3,3:24
308,0,Rich Clementi,3,4,1,4:40
387,0,Wilson Gouveia,1,1,2,0:37
123,0,Fabricio Werdum,1,2,2,4:34
27,0,B.J. Penn,1,4,2,4:02
200,0,Jorge Rivera,2,2,1,1:20
240,1,Marcus Davis,2,1,1,1:04
378,1,Tyson Griffin,1,5,3,5:00
128,0,Frank Mir,2,4,1,1:30
24,1,Antonio Rogerio Nogueira,2,4,3,1:28
274,0,Nate Marquardt,3,4,2,1:37
394,0,Yushin Okami,1,1,2,3:00
13,1,Anderson Silva,1,4,2,4:52
148,0,Heath Herring,2,6,3,5:00
63,0,Chris Leben,3,1,1,3:16
195,1,Jon Fitch,3,5,3,5:00
275,0,Nate Quarry,1,5,3,5:00
309,0,Rich Franklin,1,2,2,3:01
235,0,Mac Danzig,1,4,3,3:48
258,0,Michael Bisping,1,7,1,5:00
134,1,Georges St-Pierre,2,2,2,4:45
234,1,Lyoto Machida,1,5,3,5:00
