ID,name,ht,wt,reach,stance,class
1,Aaron Riley,68,155,69,Southpaw ,Lightweight
2,Abel Trujillo,68,155,70,Orthodox ,Lightweight
3,Al Iaquinta,69,155,70,Orthodox ,Lightweight
4,Alan Belcher,74,185,73,Orthodox ,Middleweight
5,Alan Jouban,72,170,73,Southpaw ,Welterweight
6,Alberto Crane,65,155,69,Orthodox ,Lightweight
7,Alessio Sakara,72,185,72,Orthodox ,Light Heavyweight
8,Alexander Gustafsson,77,205,79,Orthodox ,Light heavyweight
9,Ali Bagautinov,64,125,65,Orthodox ,Flyweight
10,Alistair Overeem,76,265,80,Orthodox ,Heavyweight
11,Alvin Robinson,69,155,68,Southpaw ,Lightweight
12,Amir Sadollah,70,170,74,Orthodox ,Welterweight
13,Anderson Silva,74,185,77,Southpaw ,Middleweight
14,Andre Fili,71,145,74,Orthodox ,Featherweight
15,Andre Winner,71,155,73,Orthodox ,Lightweight
16,Andrei Arlovski,75,240,77,Orthodox ,Heavyweight
17,Anthony Hamilton,77,260,76,Orthodox ,Heavyweight
18,Anthony Johnson,74,205,78,Orthodox ,Welterweight
19,Anthony Perosh,75,205,75,Orthodox ,Heavyweight
20,Anthony Pettis,70,155,72,Orthodox ,Lightweight
21,Antoni Hardonk,76,245,78,Orthodox ,Heavyweight
22,Antonio Banuelos,65,135,63,Orthodox ,Bantamweight
23,Antonio Mendes,75,205,77,Southpaw ,Light Heavyweight
24,Antonio Rogerio Nogueira,74,205,75,Southpaw ,Heavyweight
25,Antonio Silva,76,264,80,Orthodox ,Heavyweight
26,Augusto Montano,73,170,73,Orthodox ,Welterweight
27,B.J. Penn,68,145,70,Orthodox ,Welterweight
28,Bart Palaszewski,69,145,70,Orthodox ,Featherweight
29,Ben Rothwell,76,265,78,Orthodox ,Heavyweight
30,Ben Saunders,74,170,77,Orthodox ,Welterweight
31,Beneil Dariush,70,155,72,Southpaw ,Lightweight
32,Benson Henderson,69,170,70,Southpaw ,Lightweight
33,Brad Pickett,66,135,68,Orthodox ,Bantamweight
34,Brad Tavares,73,185,74,Orthodox ,Middleweight
35,Brandon Thatch,74,170,74,Switch ,Welterweight
36,Brandon Vera,75,230,76,Orthodox ,Heavyweight
37,Brendan Schaub,76,245,78,Orthodox ,Heavyweight
38,Brian Bowles,67,135,70,Orthodox ,Bantamweight
39,Brian Ebersole,72,170,73,Southpaw ,Welterweight
40,Brian Stann,73,205,74,Orthodox ,Light Heavyweight
41,Brock Lesnar,75,265,81,Orthodox ,Heavyweight
42,Buddy Roberts,74,185,76,Orthodox ,Middleweight
43,Cain Velasquez,73,240,77,Orthodox ,Heavyweight
44,Caol Uno,67,155,70,Southpaw ,Lightweight
45,Carlo Prater,71,155,72,Switch ,Welterweight
46,Carlos Condit,74,170,75,Orthodox ,Welterweight
47,Carlos Diego Ferreira,69,155,74,Orthodox ,Lightweight
48,Carlos Eduardo Rocha,70,170,70,Orthodox ,Welterweight
49,CB Dollaway,74,185,76,Orthodox ,Middleweight
50,Cezar Ferreira,73,170,78,Southpaw ,Middleweight
51,Chad Mendes,66,145,66,Orthodox ,Featherweight
52,Chael Sonnen,73,205,74,Southpaw ,Middleweight
53,Chan Sung Jung,67,145,74,Orthodox ,Featherweight
54,Charles McCarthy,70,185,71,Orthodox ,Middleweight
55,Charles Oliveira,70,145,74,Orthodox ,Lightweight
56,Charles Rosa,69,145,69,Switch ,Featherweight
57,Che Mills,73,170,76,Orthodox ,Welterweight
58,Cheick Kongo,76,240,82,Orthodox ,Heavyweight
59,Chris Camozzi,74,185,76,Orthodox ,Middleweight
60,Chris Cariaso,63,125,63,Southpaw ,Flyweight
61,Chris Clements,70,170,70,Orthodox ,Welterweight
62,Chris Heatherly,69,155,68,Orthodox ,Welterweight
63,Chris Leben,71,185,74,Southpaw ,Middleweight
64,Chris Lytle,71,170,68,Orthodox ,Welterweight
65,Chris Weidman,74,185,78,Orthodox ,Middleweight
66,Chris Wilson,73,170,75,Orthodox ,Welterweight
67,Chuck Liddell,74,205,76,Orthodox ,Light Heavyweight
68,Claude Patrick,71,170,75,Orthodox ,Welterweight
69,Clay Guida,67,145,70,Orthodox ,Light Heavyweight
70,Clifford Starks,72,185,77,Orthodox ,Middleweight
71,Cody McKenzie,72,155,72,Switch ,Featherweight
72,Colin Fletcher,74,155,78,Orthodox ,Lightweight
73,Conor McGregor,69,170,74,Southpaw ,Featherweight
74,Corey Anderson,75,205,79,Open Stance ,Light Heavyweight
75,Costas Philippou,71,185,73,Orthodox ,Middleweight
76,Court McGee,71,170,76,Orthodox ,Welterweight
77,Cub Swanson,68,145,70,Orthodox ,Catchweight (146.2 lbs.)
78,Cung Le,69,185,69,Southpaw ,Middleweight
79,Cyrille Diabate,78,205,81,Southpaw ,Light Heavyweight
80,Damian Maia,72,170,72,Southpaw ,Welterweight
81,Damon Jackson,71,145,71,Switch ,Lightweight
82,Dan Hardy,72,170,74,Orthodox ,Welterweight
83,Dan Henderson,71,185,74,Orthodox ,Light Heavyweight
84,Dan Miller,73,185,74,Orthodox ,Middleweight
85,Daniel Cormier,71,205,72,Orthodox ,Light Heavyweight
86,Danny Castillo,69,155,71,Orthodox ,Lightweight
87,Darrell Montague,66,125,67,Southpaw ,Flyweight
88,Darren Elkins,70,145,71,Orthodox ,Featherweight
